0		sys_read
1		sys_write
2		sys_open
3		sys_close
4		sys_stat
5		sys_fstat
6		sys_lstat
8		sys_lseek
9		sys_mmap
10		sys_mprotect
11		sys_munmap
12		sys_brk
13		sys_rt_sigaction
16		sys_ioctl
19		sys_readv
20		sys_writev
21		sys_access
28		sys_madvise
35		sys_nanosleep
39		sys_getpid
41		sys_socket
42		sys_connect
43		sys_accept
45		sys_recvfrom
48		sys_shutdown
49		sys_bind
50		sys_listen
51		sys_getsockname
54		sys_setsockopt
60		sys_exit
63		sys_uname
72		sys_fcntl
79		sys_getcwd
83		sys_mkdir
84		sys_rmdir
87		sys_unlink
89		sys_readlink
96		sys_gettimeofday
102		sys_getuid
104		sys_getgid
107		sys_geteuid
108		sys_getegid
140		sys_getprio
158		sys_arch_prctl
200		sys_kill
201		sys_time
203		sys_sched_setaffinity
228		sys_clock_gettime
234		sys_tgkill
257		sys_openat
346		sys_dummy_syscall
